symbol,Beta
MKC,0.7042
AYI,1.1255
L,0.9203
HST,1.179
M,0.8574
HRS,1.0119
IFF,1.0375
MAS,1.1815
MLM,1.2166
CINF,0.8814
DOV,1.2131
MXIM,1.0264
FRC,1.0775
LNC,1.6689
CNC,1.0024
DVA,0.7294
MTD,1.1043
AME,1.127
COL,0.9306
FRT,0.6615
KLAC,0.9966
HOLX,0.9791
LKQ,1.0711
OKE,1.529
TXT,1.3665
NLY,0.3136
WDAY,1.5156
PNR,1.3052
HBAN,1.2486
BBY,0.9811
AAP,0.9272
SLG,0.9181
UHS,0.9775
NTAP,1.0398
DVMT,1.0249
MAT,0.851
KMX,1.2691
HRL,0.7088
WU,1.115
COH,0.962
CPB,0.6388
XRX,1.2866
DHI,1.3037
KSU,1.2952
VER,0.7081
CHRW,0.761
CNP,0.8094
IDXX,0.7246
CTAS,0.9101
EMN,1.1804
CE,1.265
IRM,0.8547
FNF,0.7191
CA,1.0462
EXR,0.6258
ALB,1.2444
UDR,0.665
INGR,0.8623
HBI,1.308
HOG,1.1191
TSO,1.1859
VAR,0.9447
DRE,0.8648
WWAV,1.153
BFB,0.7456
SCG,0.5277
XYL,1.1017
EXPD,0.8162
XL,0.8059
ARMK,0.7146
AKAM,1.3234
FL,0.8203
ACGL,0.5747
RMD,0.772
WFM,0.6728
SEE,1.1317
JNPR,0.9759
TSCO,1.0899
IPG,1.1034
SNPS,0.9448
LEA,1.2547
AJG,0.8296
CDK,0.911
HAS,0.8261
PVH,1.0397
FBHS,1.1212
QVCA,1.0588
SNA,1.0535
AMTD,1.7358
VNTV,1.046
LNT,0.4529
LNG,1.419
ALLY,0.5769
NFX,1.6806
GT,1.3077
DOX,0.8432
MOS,1.0961
COO,0.7739
AES,1.0658
PNW,0.5011
CBG,1.3985
UNM,1.2518
ARE,0.6704
FFIV,1.0257
VAL,0.8123
CMA,1.3716
BG,0.7922
ANSS,1.0294
ETFC,1.6657
KSS,0.7431
WR,0.5048
BR,0.957
REG,0.7055
RE,0.6901
TIF,1.1203
RAD,0.7764
RRC,1.0899
ALK,1.2272
TSS,1.1609
Y,0.7942
WYNN,1.5042
AMG,1.6871
UGI,0.7531
NI,0.7181
SPLK,1.9209
CCK,0.9551
TRGP,1.7649
LEN,1.2129
BWA,1.5079
CDNS,0.9662
MNK,1.3749
MSCI,1.0315
PKG,1.1589
TMK,0.954
DPZ,0.848
NDAQ,0.8902
KORS,0.8819
FANG,1.4508
ATO,0.5606
CDW,0.9555
SIRI,0.8499
VRSN,0.9667
WYN,1.1148
LBRDK,0.8082
RJF,1.3546
TFX,0.7555
NNN,0.5096
CSC,1.188
CIT,1.0688
